ISIC,,Count of corresponding records in aggregatedSector_v3 (typically 1 per country from Exiobase),Exio Sector name,NACE name,Mapping,Use for BCC?,Simplified sector - to be used in product,,Slimmed,Benchmark mapping sector name,Name + benchmark (filter)
16,16,49,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",,x,"Wood and straw products manufacturing, not furniture",,,,1
162,162,49,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Manufacture of products of wood, cork, straw and plaiting materials",,,,,,,
16291,16291,42,Manufacture of coke oven products,Manufacture of wood fuels,,,,,,,
17,17,49,Paper,Manufacture of paper and paper products,,x,Paper and paper products manufacturing,,,,1
171,171,49,Paper,"Manufacture of pulp, paper and paperboard",,,,,,,
1711,1711,49,Pulp,Manufacture of pulp,,x,Pulp manufacturing,,,,1
172,172,49,Paper,Manufacture of articles of paper and paperboard,,,,,,,
18,18,49,"Publishing, printing and reproduction of recorded media",Printing and reproduction of recorded media,,x,"Publishing, printing and reproduction of recorded media",,,,1
181,181,49,"Publishing, printing and reproduction of recorded media",Printing and service activities related to printing,,,,,,,
182,182,49,"Publishing, printing and reproduction of recorded media",Reproduction of recorded media,,,,,,,
19,19,48,Petroleum Refinery,Manufacture of coke and refined petroleum products,,,,,,,
20,20,49,Chemicals nec,Manufacture of chemicals and chemical products,,,,,,Manufacture of chemicals and chemical products,1
2011,2011,49,Chemicals nec,Manufacture of industrial gases,,,,,,,
20110,20110,49,Chemicals nec,Manufacture of industrial gases,,,,,,,
2015,2015,48,N-fertiliser,Manufacture of fertilisers and nitrogen compounds,,x,Fertiliser manufacturing,,,,1
2016,2016,49,"Plastics, basic",Manufacture of plastics in primary forms,,x,Basic plastic manufacturing,,,,1
204,204,49,Chemicals nec,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",,,,,,,
205,205,49,Chemicals nec,Manufacture of other chemical products,,x,Other chemicals manufacturing,,,,1
206,206,49,Chemicals nec,Manufacture of man-made fibres,,,,,,,
21,21,49,Chemicals nec,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,x,Pharmaceutical products manufacturing,,,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
211,211,49,Chemicals nec,Manufacture of basic pharmaceutical products,,,,,,,
212,212,49,Chemicals nec,Manufacture of pharmaceutical preparations,,,,,,,
22,22,49,Manufacture of rubber and plastic products,Manufacture of rubber and plastic products,,x,Plastic and rubber products manufacturing,,,,1
222,222,49,Manufacture of rubber and plastic products,Manufacture of plastics products,,,,,,,
23,23,49,Manufacture of other non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,,x,Non-metallic mineral products manufacturing,,,,1
231,231,48,Manufacture of glass and glass products,Manufacture of glass and glass products,,x,Glass and glass products manufacturing,,,,1
2332,2332,49,"Manufacture of bricks, tiles and construction products, in baked clay","Manufacture of bricks, tiles and construction products, in baked clay",,,,,,,
234,234,49,Manufacture of ceramic goods,Manufacture of other porcelain and ceramic products,,x,Cermaic goods manufacturing,,,,1
235,235,49,"Manufacture of cement, lime and plaster","Manufacture of cement, lime and plaster",,x,"Cement, lime and plaster manufacturing",,,,1
24,24,49,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Manufacture of basic metals,,,,,,,
241,241,49,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Manufacture of basic iron and steel and of ferro-alloys,,x,Basic metals manufacturing,,,Manufacture of basic iron and steel and of ferro-alloys,1
244,244,49,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Manufacture of basic precious and other non-ferrous metals,,,,,,,
2441,2441,49,Precious metals production,Precious metals production,,,,,,,
2442,2442,49,Aluminium production,Aluminium production,,x,Aluminium production,,,,1
2443,2443,49,"Lead, zinc and tin production","Lead, zinc and tin production",,x,"Lead, zinc and tin production",,,,1
2444,2444,49,Copper production,Copper production,,x,Copper production,,,,1
2445,2445,49,Other non-ferrous metal production,Other non-ferrous metal production,,,,,,,
2446,2446,46,Processing of nuclear fuel,Processing of nuclear fuel,,,,,,,
245,245,45,Casting of metals,Casting of metals,,x,Casting of metals,,,,1
25,25,49,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, except machinery and equipment",,x,Metal products manufacturing,,,,1
251,251,49,"Manufacture of fabricated metal products, except machinery and equipment",Manufacture of structural metal products,,,,,,,
252,252,49,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of tanks, reservoirs and containers of metal",,,,,,,
253,253,49,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of steam generators, except central heating hot water boilers",Wrong mapping,,,,,,
254,254,49,"Manufacture of fabricated metal products, except machinery and equipment",Manufacture of weapons and ammunition,,,,,,,
255,255,49,"Manufacture of fabricated metal products, except machinery and equipment","Forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,,,,,
256,256,49,"Manufacture of fabricated metal products, except machinery and equipment",Treatment and coating of metals; machining,,,,,,,
257,257,49,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of cutlery, tools and general hardware",,,,,,,
259,259,49,"Manufacture of fabricated metal products, except machinery and equipment",Manufacture of other fabricated metal products,,,,,,,
26,26,49,"Manufacture of radio, television and communication equipment and apparatus","Manufacture of computer, electronic and optical products",Wrong mapping,x,"Phone, radio and television manufacturing",,,,1
261,261,49,"Manufacture of radio, television and communication equipment and apparatus",Manufacture of electronic components and boards,Wrong mapping,,,,,,
263,263,49,"Manufacture of radio, television and communication equipment and apparatus",Manufacture of communication equipment,Wrong mapping,,,,,,
264,264,49,"Manufacture of radio, television and communication equipment and apparatus",Manufacture of consumer electronics,Wrong mapping,,,,,,
265,265,49,"Manufacture of radio, television and communication equipment and apparatus","Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks",Wrong mapping,,,,,,
266,266,49,"Manufacture of radio, television and communication equipment and apparatus","Manufacture of irradiation, electromedical and electrotherapeutic equipment",Wrong mapping,,,,,,
267,267,49,"Manufacture of medical, precision and optical instruments, watches and clocks",Manufacture of optical instruments and photographic equipment,,x,Optical instruments manufacturing,,,,1
268,268,49,"Manufacture of medical, precision and optical instruments, watches and clocks",Manufacture of magnetic and optical media,,,,,,,
27,27,49,Manufacture of electrical machinery and apparatus n.e.c.,Manufacture of electrical equipment,,x,Electrical machinery and apparaturs manufacturing,,,,1
271,271,49,Manufacture of electrical machinery and apparatus n.e.c.,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",,,,,,,
272,272,49,Manufacture of electrical machinery and apparatus n.e.c.,Manufacture of batteries and accumulators,,,,,,,
273,273,49,Manufacture of electrical machinery and apparatus n.e.c.,Manufacture of wiring and wiring devices,,,,,,,
274,274,49,Manufacture of electrical machinery and apparatus n.e.c.,Manufacture of electric lighting equipment,,,,,,,
275,275,49,Manufacture of electrical machinery and apparatus n.e.c.,Manufacture of domestic appliances,,,,,,,
279,279,49,Manufacture of electrical machinery and apparatus n.e.c.,Manufacture of other electrical equipment,,,,,,,
28,28,49,Manufacture of machinery and equipment n.e.c.,Manufacture of machinery and equipment n.e.c.,,,,,,,
281,281,49,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,,,,,,,
282,282,49,Manufacture of machinery and equipment n.e.c.,Manufacture of other general-purpose machinery,,x,Other machinery manufacturing,,,,1
2825,2825,49,Chemicals nec,Manufacture of non-domestic cooling and ventilation equipment,Wrong mapping,,,,,,
283,283,49,Manufacture of machinery and equipment n.e.c.,Manufacture of agricultural and forestry machinery,,,,,,,
284,284,49,Manufacture of machinery and equipment n.e.c.,Manufacture of metal forming machinery and machine tools,,,,,,,
289,289,49,Manufacture of machinery and equipment n.e.c.,Manufacture of other special-purpose machinery,,,,,,,
29,29,49,"Manufacture of motor vehicles, trailers and semi-trailers","Manufacture of motor vehicles, trailers and semi-trailers",,x,Motor vehicle manufacturing,,,,1
291,291,49,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacture of motor vehicles,,,,,,,
292,292,49,Manufacture of other transport equipment,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Wrong mapping,,,,,,
293,293,49,Manufacture of other transport equipment,Manufacture of parts and accessories for motor vehicles,,,,,,,
30,30,49,Manufacture of other transport equipment,Manufacture of other transport equipment,,x,Other transport equipment manufacturing,,,,1
301,301,49,Manufacture of other transport equipment,Building of ships and boats,,,,,,,
302,302,49,Manufacture of other transport equipment,Manufacture of railway locomotives and rolling stock,,,,,,,
303,303,49,Manufacture of other transport equipment,Manufacture of air and spacecraft and related machinery,,,,,,,
304,304,49,Manufacture of other transport equipment,Manufacture of military fighting vehicles,,,,,,,
309,309,49,Manufacture of other transport equipment,Manufacture of transport equipment n.e.c.,,,,,,,
31,31,49,Manufacture of furniture; manufacturing n.e.c.,Manufacture of furniture,,x,Furniture manufacturing,,,,1
310,310,49,Manufacture of furniture; manufacturing n.e.c.,Manufacture of furniture,,,,,,,
32,32,49,Manufacture of furniture; manufacturing n.e.c.,Other manufacturing,,x,Other manufacturing,,,,1
321,321,49,Manufacture of machinery and equipment n.e.c.,"Manufacture of jewellery, bijouterie and related articles",Wrong mapping,,,,,,
322,322,49,Manufacture of machinery and equipment n.e.c.,Manufacture of musical instruments,Wrong mapping,,,,,,
323,323,49,Manufacture of machinery and equipment n.e.c.,Manufacture of sports goods,Wrong mapping,,,,,,
324,324,49,Manufacture of machinery and equipment n.e.c.,Manufacture of games and toys,Wrong mapping,,,,,,
325,325,49,"Manufacture of medical, precision and optical instruments, watches and clocks",Manufacture of medical and dental equipment,,x,Medical equipment manufacturing,,,,1
329,329,49,Manufacture of machinery and equipment n.e.c.,Manufacturing n.e.c.,Wrong mapping,,,,,Manufacturing n.e.c.,1
33,33,49,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Repair and installation of machinery and equipment,Wrong mapping,,,,,,
331,331,49,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries","Repair of fabricated metal products, machinery and equipment",Wrong mapping,,,,,,
332,332,49,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Installation of industrial machinery and equipment,Wrong mapping,,,,,,
351,351,49,Distribution and trade of electricity,"Electric power generation, transmission and distribution",,,,,Wrong mapping->,"Electricity, gas, steam and air conditioning supply",1
3512,3512,49,Transmission of electricity,Transmission of electricity,,x,Electricity transmission,,,,1
3513,3513,49,Transmission of electricity,Distribution of electricity,,,,,,,
352,352,49,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,,,,,,,
353,353,38,Steam and hot water supply,Steam and air conditioning supply,,x,Steam and hot water supply,,,,1
36,36,49,"Collection, purification and distribution of water","Water collection, treatment and supply",Wrong mapping,,,,,Utilities,1
37,37,49,"Waste water treatment, other",Sewerage,,,,,,,
38,38,45,Landfill of waste: Inert/metal/hazardous,"Waste collection, treatment and disposal activities; materials recovery",,,,,,,
3821,3821,45,Recycling of waste and scrap,Treatment and disposal of non-hazardous waste,,,,,,,
3832,3832,19,Recycling of bottles by direct reuse,Recovery of sorted materials,,,,,,,
39,39,45,Landfill of waste: Inert/metal/hazardous,Remediation activities and other waste management services,,,,,,,
