ISIC,,Count of corresponding records in aggregatedSector_v3 (typically 1 per country from Exiobase),Exio Sector name,NACE name,Mapping,Use for BCC?,Simplified sector - to be used in product,,Slimmed,Benchmark mapping sector name,Name + benchmark (filter)
79,79,49,Air transport,"Travel agency, tour operator and other reservation service and related activities",Wrong mapping!!!,,,,,"Travel agency, tour operator and other reservation service and related activities",1
80,80,49,Public administration and defence; compulsory social security,Security and investigation activities,,,,,,,
801,801,49,Public administration and defence; compulsory social security,Private security activities,,,,,,,
802,802,49,Public administration and defence; compulsory social security,Security systems service activities,,,,,,,
803,803,49,Public administration and defence; compulsory social security,Investigation activities,,,,,,,
81,81,48,Other service activities,Services to buildings and landscape activities,,x,Building services,,,,1
811,811,48,Other service activities,Combined facilities support activities,,,,,,,
812,812,48,Other service activities,Cleaning activities,,,,,,,
813,813,48,Other service activities,Landscape service activities,,,,,,,
82,82,49,Other business activities,"Office administrative, office support and other business support activities",,,,,,,
821,821,49,Other business activities,Office administrative and support activities,,,,,,,
822,822,49,Other business activities,Activities of call centres,,,,,,,
823,823,49,Other business activities,Organisation of conventions and trade shows,,,,,,,
829,829,49,Other business activities,Business support service activities n.e.c.,,,,,,,
84,84,49,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security,,x,Public administration and defence; compulsory social security,,,,1
841,841,49,Public administration and defence; compulsory social security,Administration of the State and the economic and social policy of the community,,,,,,,
842,842,49,Public administration and defence; compulsory social security,Provision of services to the community as a whole,,,,,,,
843,843,49,Public administration and defence; compulsory social security,Compulsory social security activities,,,,,,,
85,85,49,Education,Education,,x,Education,,,,1
851,851,49,Education,Pre-primary education,,,,,,,
852,852,49,Education,Primary education,,,,,,,
853,853,49,Education,Secondary education,,,,,,,
854,854,49,Education,Higher education,,,,,,,
855,855,49,Education,Other education,,,,,,,
856,856,49,Education,Educational support activities,,,,,,,
86,86,49,Health and social work,Human health activities,,x,Health and social work ,,,,1
861,861,49,Health and social work,Hospital activities,,,,,,,
862,862,49,Health and social work,Medical and dental practice activities,,,,,,,
869,869,49,Health and social work,Other human health activities,,,,,,,
87,87,49,Health and social work,Residential care activities,,,,,,,
871,871,49,Health and social work,Residential nursing care activities,,,,,,,
872,872,49,Health and social work,"Residential care activities for mental retardation, mental health and substance abuse",,,,,,,
873,873,49,Health and social work,Residential care activities for the elderly and disabled,,,,,,,
879,879,49,Health and social work,Other residential care activities,,,,,,,
88,88,49,Health and social work,Social work activities without accommodation,,,,,,,
881,881,49,Health and social work,Social work activities without accommodation for the elderly and disabled,,,,,,,
889,889,49,Health and social work,Other social work activities without accommodation,,,,,,,
90,90,48,"Recreational, cultural and sporting activities","Creative, arts and entertainment activities",,x,"Creative, arts and entertainment activities",,,Artistic creation,1
900,900,48,"Recreational, cultural and sporting activities","Creative, arts and entertainment activities",,,,,,,
91,91,48,"Recreational, cultural and sporting activities","Libraries, archives, museums and other cultural activities",,,,,,,
910,910,48,"Recreational, cultural and sporting activities","Libraries, archives, museums and other cultural activities",,,,,,,
92,92,48,"Recreational, cultural and sporting activities",Gambling and betting activities,,,,,,,
920,920,48,"Recreational, cultural and sporting activities",Gambling and betting activities,,,,,,,
93,93,48,"Recreational, cultural and sporting activities",Sports activities and amusement and recreation activities,,,,,,,
931,931,48,"Recreational, cultural and sporting activities",Sports activities,,,,,,,
932,932,48,"Recreational, cultural and sporting activities",Amusement and recreation activities,,,,,,,
94,94,48,Activities of membership organisation n.e.c.,Activities of membership organisations,,x,Activities of membership organisations,,,Activities of membership organisations,1
941,941,48,Activities of membership organisation n.e.c.,"Activities of business, employers and professional membership organisations",,,,,,,
942,942,49,Other business activities,Activities of trade unions,,,,,,,
949,949,48,Activities of membership organisation n.e.c.,Activities of other membership organisations,,,,,,,
95,95,49,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",Repair of computers and personal and household goods,,,,,,,
951,951,49,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",Repair of computers and communication equipment,,,,,,,
952,952,49,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",Repair of personal and household goods,,x,"Repair, household goods",,,,1
96,96,48,Other service activities,Other personal service activities,,x,Other service activies,,,,1
960,960,48,Other service activities,Other personal service activities,,,,,,,
97,97,45,Private households with employed persons,Activities of households as employers of domestic personnel,,,,,,,
970,970,45,Private households with employed persons,Activities of households as employers of domestic personnel,,,,,,,
98,98,45,Private households with employed persons,Undifferentiated goods- and services-producing activities of private households for own use,,,,,,,
981,981,45,Private households with employed persons,Undifferentiated goods-producing activities of private households for own use,,,,,,,
982,982,45,Private households with employed persons,Undifferentiated service-producing activities of private households for own use,,,,,,,
99,99,48,Other service activities,Activities of extraterritorial organisations and bodies,,,,,,,
990,990,48,Other service activities,Activities of extraterritorial organisations and bodies,,,,,,,
